qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.08477306365966797,0.1406238079071045,0.1421957015991211,0.15857744216918945,0.14362049102783203,0.1575181484222412,0.06346583366394043
0.08914923667907715,0.14409852027893066,0.13466358184814453,0.1505727767944336,0.14461278915405273,0.16358709335327148,0.0698087215423584
0.08176136016845703,0.14013075828552246,0.14564871788024902,0.13762950897216797,0.14561057090759277,0.15872526168823242,0.06733012199401855
0.08178162574768066,0.14811158180236816,0.14261865615844727,0.15658164024353027,0.14461255073547363,0.16156816482543945,0.06682109832763672
0.0857703685760498,0.13414764404296875,0.14162111282348633,0.14563560485839844,0.15145468711853027,0.16609644889831543,0.07179117202758789
0.08778691291809082,0.16652464866638184,0.15358924865722656,0.14162135124206543,0.14461278915405273,0.1586012840270996,0.06483316421508789
0.08773422241210938,0.14561033248901367,0.13962626457214355,0.14564895629882812,0.14662575721740723,0.1655566692352295,0.0657954216003418
0.0827786922454834,0.14661502838134766,0.1396193504333496,0.15458893775939941,0.15059876441955566,0.15981650352478027,0.06582283973693848
0.08228707313537598,0.1550922393798828,0.13364315032958984,0.14561009407043457,0.15658116340637207,0.17653727531433105,0.07977747917175293
0.08628678321838379,0.14013004302978516,0.13364267349243164,0.1557168960571289,0.14763188362121582,0.16404151916503906,0.06334710121154785
0.08175253868103027,0.1438136100769043,0.13663625717163086,0.14560842514038086,0.1545867919921875,0.16059517860412598,0.06282711029052734
0.08275866508483887,0.1441209316253662,0.1436173915863037,0.15259361267089844,0.14561104774475098,0.16457509994506836,0.06682348251342773
0.08128809928894043,0.14461326599121094,0.1386280059814453,0.15059757232666016,0.14760494232177734,0.15558505058288574,0.0638279914855957
0.08330869674682617,0.14708709716796875,0.14715242385864258,0.14261865615844727,0.1416797637939453,0.16379618644714355,0.06635022163391113
0.08477663993835449,0.13361692428588867,0.16156888008117676,0.14760780334472656,0.13965320587158203,0.16754913330078125,0.06579732894897461
0.08605408668518066,0.15058541297912598,0.15433406829833984,0.1371626853942871,0.14941954612731934,0.17409062385559082,0.06536221504211426
0.0857994556427002,0.14061975479125977,0.14957523345947266,0.14560985565185547,0.14261913299560547,0.16557908058166504,0.06682562828063965
0.08185076713562012,0.1345527172088623,0.14959931373596191,0.14152908325195312,0.1411294937133789,0.16556525230407715,0.06182599067687988
0.08377504348754883,0.13962602615356445,0.14960098266601562,0.1366593837738037,0.1421506404876709,0.16616225242614746,0.059813499450683594
0.08289742469787598,0.14319539070129395,0.1436159610748291,0.1483781337738037,0.14261841773986816,0.15960049629211426,0.06679511070251465
0.0838003158569336,0.13962626457214355,0.14162778854370117,0.1495683193206787,0.14461255073547363,0.16455984115600586,0.06485295295715332
0.083343505859375,0.14265155792236328,0.1356503963470459,0.15358972549438477,0.13866114616394043,0.1615450382232666,0.06783461570739746
0.08275341987609863,0.14663410186767578,0.14480090141296387,0.15010380744934082,0.14661026000976562,0.15957307815551758,0.06670188903808594
0.08364391326904297,0.14583873748779297,0.13712000846862793,0.1570889949798584,0.14760398864746094,0.15857648849487305,0.06482768058776855
0.08078241348266602,0.1515944004058838,0.14364051818847656,0.14658713340759277,0.14162158966064453,0.16112852096557617,0.0638282299041748
0.0827786922454834,0.15010809898376465,0.13862848281860352,0.15857577323913574,0.1515951156616211,0.1625657081604004,0.0638282299041748
0.08577084541320801,0.14163589477539062,0.13764476776123047,0.17452263832092285,0.1426224708557129,0.15958595275878906,0.06582427024841309
0.08080840110778809,0.1475815773010254,0.13862824440002441,0.14261817932128906,0.14361882209777832,0.16954374313354492,0.06781864166259766
0.0827786922454834,0.1556088924407959,0.14159607887268066,0.1570882797241211,0.14860296249389648,0.15957307815551758,0.06582355499267578
0.08377718925476074,0.1486039161682129,0.1386277675628662,0.14312267303466797,0.15358948707580566,0.15860247611999512,0.06679606437683105
